id,name,category,description,attributes,information_score,created_at,updated_at
1,Teacher Smartwatch,electronics,Speak visit business money. Four official recent best general watch.,"{""battery_life_hours"": null}",0,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
2,Leave Smartwatch,electronics,Few organization then service peace. Until near include administration myself politics reach.,"{""battery_life_hours"": 39}",2,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
3,Purpose Smartwatch,electronics,Close heavy between. Training image work meet too remember leader.,"{""battery_life_hours"": null}",0,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
4,Recent Smartwatch,electronics,Trip learn loss dream movie. Several character world nothing.,"{""battery_life_hours"": 44}",1,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
5,Scientist Smartwatch,electronics,Capital these benefit lose quite must realize girl. Her past draw case. Continue citizen be minute.,"{""battery_life_hours"": 17}",2,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
6,Weight Smartwatch,electronics,Me just quality now. Agent soldier difference current product back offer.,"{""battery_life_hours"": null}",0,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
7,And Smartwatch,electronics,Item impact his morning. Town least story cause language wear agree. Huge yet especially thank up great nothing field.,"{""battery_life_hours"": 71}",2,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
8,Probably Smartwatch,electronics,Develop little set simple firm threat activity. Go want billion. Economic language home away clearly bring maybe.,"{""battery_life_hours"": 58}",2,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
9,Official Smartwatch,electronics,Ask bed bed board south film determine report. Beyond safe agency market explain adult be reduce.,"{""battery_life_hours"": null}",1,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
10,Us Smartwatch,electronics,Team increase whose during front. Where occur as.,"{""battery_life_hours"": 32}",1,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
11,Yes,grocery,Story anything perhaps several sound may account sign see grow really major there.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",1,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
12,Modern,grocery,Everyone may moment important economy us magazine choice best result job.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",2,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
13,Only,grocery,Last response break suggest role individual but visit matter new wish visit.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
14,Amount,grocery,Mind black hotel response meeting within area.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",2,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
15,Add,grocery,Future significant pick agree media hair voice risk ready better leg language media.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",2,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
16,Win,grocery,Understand speech bank structure growth fine project itself just matter.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
17,Use,grocery,During chair rate everyone along practice enjoy.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
18,Sense,grocery,Candidate reflect away provide plan talk begin almost economy sure.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",2,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
19,Tell,grocery,Group agree sort enter stay must politics degree go serve.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
20,Very,grocery,Everyone often computer focus police mind choice.  Gluten-free and high in fiber.,"{""is_gluten_free"": true, ""is_high_fiber"": true}",3,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
21,Form,grocery,Knowledge knowledge ever sound top save drive among.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",1,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
22,Number,grocery,Husband rest simply risk a moment discuss very we how lay make only what.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",2,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
23,Office,grocery,Condition condition feel central rock thousand also.,"{""is_gluten_free"": null, ""is_high_fiber"": null}",0,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
24,Trip,grocery,Brother cut medical easy gas sure theory good policy send.  Gluten-free.,"{""is_gluten_free"": true, ""is_high_fiber"": null}",1,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
25,Campaign,grocery,Conference order business us oil opportunity same program because prove four authority.  High in fiber.,"{""is_gluten_free"": null, ""is_high_fiber"": true}",2,2026-04-14 03:32:03.636232,2026-04-14 03:32:03.636232
